detector, descriptor, frame, detection duration, original keypoints, car keypoints, neighbourhood mean, neighbourhood sigma, description duration, matches, total durationmatches
SHITOMASI, BRISK, 0, 0.0134047, 1370, 125, 4, 0, 0.159091, 0, 0.172496
SHITOMASI, BRISK, 1, 0.0128602, 1301, 118, 4, 0, 0.187434, 95, 0.200294
SHITOMASI, BRISK, 2, 0.0135133, 1361, 123, 4, 0, 0.203668, 88, 0.217181
SHITOMASI, BRISK, 3, 0.0115409, 1358, 120, 4, 0, 0.179811, 80, 0.191352
SHITOMASI, BRISK, 4, 0.01193, 1333, 120, 4, 0, 0.160493, 90, 0.172423
SHITOMASI, BRISK, 5, 0.0115902, 1284, 113, 4, 0, 0.159139, 82, 0.170729
SHITOMASI, BRISK, 6, 0.0118332, 1322, 114, 4, 0, 0.157524, 79, 0.169358
SHITOMASI, BRISK, 7, 0.0117441, 1366, 123, 4, 0, 0.215627, 85, 0.227371
SHITOMASI, BRISK, 8, 0.0125613, 1389, 111, 4, 0, 0.216898, 86, 0.229459
SHITOMASI, BRISK, 9, 0.0136719, 1339, 112, 4, 0, 0.220673, 82, 0.234345
SHITOMASI, BRIEF, 0, 0.0142703, 1370, 125, 4, 0, 0.00121736, 0, 0.0154876
SHITOMASI, BRIEF, 1, 0.0149023, 1301, 118, 4, 0, 0.00117601, 115, 0.0160783
SHITOMASI, BRIEF, 2, 0.0150683, 1361, 123, 4, 0, 0.0012087, 111, 0.016277
SHITOMASI, BRIEF, 3, 0.014369, 1358, 120, 4, 0, 0.0011464, 104, 0.0155154
SHITOMASI, BRIEF, 4, 0.0142959, 1333, 120, 4, 0, 0.00116451, 101, 0.0154605
SHITOMASI, BRIEF, 5, 0.0137237, 1284, 113, 4, 0, 0.0010768, 102, 0.0148005
SHITOMASI, BRIEF, 6, 0.0134649, 1322, 114, 4, 0, 0.00108192, 102, 0.0145468
SHITOMASI, BRIEF, 7, 0.0130231, 1366, 123, 4, 0, 0.00109545, 100, 0.0141186
SHITOMASI, BRIEF, 8, 0.0120273, 1389, 111, 4, 0, 0.00106781, 109, 0.0130951
SHITOMASI, BRIEF, 9, 0.0121009, 1339, 112, 4, 0, 0.00108676, 100, 0.0131876
